Metric,Noise Type,Seed,Value,Brightness,Gaussian Level
Mean Recall,Poisson-Gaussian,1,0.3589711477,0.8,22.5
Mean Recall,Poisson-Gaussian,2,0.3653708957,0.8,22.5
Mean Recall,Poisson-Gaussian,3,0.357770055,0.8,22.5
Mean Recall,Poisson-Gaussian,4,0.3637655502,0.8,22.5
Mean Recall,Poisson-Gaussian,0,0.4694641381,0.6,2.5
Mean Recall,Poisson-Gaussian,1,0.4753949252,0.6,2.5
Mean Recall,Poisson-Gaussian,2,0.4729174923,0.6,2.5
Mean Recall,Poisson-Gaussian,3,0.4728209254,0.6,2.5
Mean Recall,Poisson-Gaussian,4,0.4726124651,0.6,2.5
Mean Recall,Poisson-Gaussian,0,0.4648082133,0.6,5.0
Mean Recall,Poisson-Gaussian,1,0.4609734354,0.6,5.0
Mean Recall,Poisson-Gaussian,2,0.4619583966,0.6,5.0
Mean Recall,Poisson-Gaussian,3,0.4599417314,0.6,5.0
Mean Recall,Poisson-Gaussian,4,0.4639888478,0.6,5.0
Mean Recall,Poisson-Gaussian,0,0.4291380999,0.6,10.0
Mean Recall,Poisson-Gaussian,1,0.4280368735,0.6,10.0
Mean Recall,Poisson-Gaussian,2,0.429096122,0.6,10.0
Mean Recall,Poisson-Gaussian,3,0.4271906072,0.6,10.0
Mean Recall,Poisson-Gaussian,4,0.4269311502,0.6,10.0
Mean Recall,Poisson-Gaussian,0,0.382831476,0.6,15.0
Mean Recall,Poisson-Gaussian,1,0.3811256255,0.6,15.0
Mean Recall,Poisson-Gaussian,2,0.3779503751,0.6,15.0
Mean Recall,Poisson-Gaussian,3,0.3838575725,0.6,15.0
Mean Recall,Poisson-Gaussian,4,0.3863190699,0.6,15.0
Mean Recall,Poisson-Gaussian,0,0.3037720857,0.6,22.5
Mean Recall,Poisson-Gaussian,1,0.3044994777,0.6,22.5
Mean Recall,Poisson-Gaussian,2,0.2979062736,0.6,22.5
Mean Recall,Poisson-Gaussian,3,0.3028352655,0.6,22.5
Mean Recall,Poisson-Gaussian,4,0.3001469602,0.6,22.5
Mean Recall,Poisson-Gaussian,0,0.4541546127,0.4,2.5
Mean Recall,Poisson-Gaussian,1,0.4538981183,0.4,2.5
Mean Recall,Poisson-Gaussian,2,0.4514311727,0.4,2.5
Mean Recall,Poisson-Gaussian,3,0.4486806176,0.4,2.5
Mean Recall,Poisson-Gaussian,4,0.4517224096,0.4,2.5
Mean Recall,Poisson-Gaussian,0,0.4357372827,0.4,5.0
Mean Recall,Poisson-Gaussian,1,0.4382639002,0.4,5.0
Mean Recall,Poisson-Gaussian,2,0.4363354514,0.4,5.0
Mean Recall,Poisson-Gaussian,3,0.4341006746,0.4,5.0
Mean Recall,Poisson-Gaussian,4,0.4320838882,0.4,5.0
Mean Recall,Poisson-Gaussian,0,0.3698922442,0.4,10.0
Mean Recall,Poisson-Gaussian,1,0.3780835881,0.4,10.0
Mean Recall,Poisson-Gaussian,2,0.3757294535,0.4,10.0
Mean Recall,Poisson-Gaussian,3,0.3797442417,0.4,10.0
Mean Recall,Poisson-Gaussian,4,0.3797090446,0.4,10.0
Mean Recall,Poisson-Gaussian,0,0.3025930543,0.4,15.0
Mean Recall,Poisson-Gaussian,1,0.2992938628,0.4,15.0
Mean Recall,Poisson-Gaussian,2,0.304901586,0.4,15.0
Mean Recall,Poisson-Gaussian,3,0.3027704391,0.4,15.0
Mean Recall,Poisson-Gaussian,4,0.2999186947,0.4,15.0
Mean Recall,Poisson-Gaussian,0,0.1905447089,0.4,22.5
Mean Recall,Poisson-Gaussian,1,0.1914808717,0.4,22.5
Mean Recall,Poisson-Gaussian,2,0.1903404125,0.4,22.5
Mean Recall,Poisson-Gaussian,3,0.1940967923,0.4,22.5
Mean Recall,Poisson-Gaussian,4,0.1901907268,0.4,22.5
Mean Recall,Poisson-Gaussian,0,0.396847337,0.2,2.5
Mean Recall,Poisson-Gaussian,1,0.3986050274,0.2,2.5
Mean Recall,Poisson-Gaussian,2,0.3979724934,0.2,2.5
Mean Recall,Poisson-Gaussian,3,0.3946038849,0.2,2.5
Mean Recall,Poisson-Gaussian,4,0.3992030487,0.2,2.5
Mean Recall,Poisson-Gaussian,0,0.3508814754,0.2,5.0
Mean Recall,Poisson-Gaussian,1,0.3545950028,0.2,5.0
Mean Recall,Poisson-Gaussian,2,0.3498786103,0.2,5.0
Mean Recall,Poisson-Gaussian,3,0.3532445053,0.2,5.0
Mean Recall,Poisson-Gaussian,4,0.3518379553,0.2,5.0
Mean Recall,Poisson-Gaussian,0,0.2151003613,0.2,10.0
Mean Recall,Poisson-Gaussian,1,0.2187522229,0.2,10.0
Mean Recall,Poisson-Gaussian,2,0.2221397722,0.2,10.0
Mean Recall,Poisson-Gaussian,3,0.2211590643,0.2,10.0
Mean Recall,Poisson-Gaussian,4,0.2230815087,0.2,10.0
Mean Recall,Poisson-Gaussian,0,0.10500712,0.2,15.0
Mean Recall,Poisson-Gaussian,1,0.1069368839,0.2,15.0
Mean Recall,Poisson-Gaussian,2,0.1040732211,0.2,15.0
Mean Recall,Poisson-Gaussian,3,0.1050895863,0.2,15.0
Mean Recall,Poisson-Gaussian,4,0.1054915804,0.2,15.0
Mean Recall,Poisson-Gaussian,0,0.0936075236,0.2,22.5
Mean Recall,Poisson-Gaussian,1,0.0898700933,0.2,22.5
Mean Recall,Poisson-Gaussian,2,0.0912124354,0.2,22.5
